EA_Name,TimeOpen,TimeClose,DealOpen,DealClose,Symbol,Type,Volume,PriceOpen,PriceClose,Profit,Swap,Commission,Duration,Comment,Source,ProcessedTime
Ultimate-Timebomb,2025.11.11 16:30:01,2025.11.11 16:32:04,1072888651,1072895538.0,US30,BUY,0.5,47438.0,47455.3,8.65,0.0,0.0,2.0,Ultimate Timebomb,US-ORB,2025-11-25 08:27:28
Ultimate-Timebomb,2025.11.12 16:25:05,2025.11.12 16:41:24,1074666451,1074709796.0,US30,BUY,0.5,48064.2,48281.3,108.55,0.0,0.0,16.3,Ultimate Timebomb,US-ORB,2025-11-25 08:27:28
Ultimate-Timebomb,2025.11.19 17:10:54,2025.11.19 17:18:27,1085196615,1085216717.0,US30,BUY,0.6,46222.7,46266.5,26.28,0.0,0.0,7.5,Ultimate Timebomb,US-ORB,2025-11-25 08:27:28
Ultimate-Timebomb,2025.11.20 16:25:50,2025.11.20 16:31:26,1087240973,1087258374.0,US30,BUY,0.6,46627.7,46729.8,61.26,0.0,0.0,5.6,Ultimate Timebomb,US-ORB,2025-11-25 08:27:28
